content,score
"sangat bagus, nyaman dan aman",5
"developer tolong dong kalo tiap transaksi penarikan tunai tanpa kartu jangan harus ada pulsa untuk sms otp kirim ke wa saja aplikasi baru namun ko ga ada perkembangan, tiap bulan sudah kena potongan biaya adm kartu biaya adm rek namun tidak bisa menggunakan semua manfaatnya dalam aplikasinya.",1
di tgl 20 Juni saya melakukan transaksi transfer ke ewalet GOPAY sementara laporan transaksi gagal tapi kenapa saldo saya belum kembali juga sampai sekarang ya mohon solusi dan dan pertanggungjawaban nya untuk customer service tolong jangan slow respon dong!!!,2
perlu ditongkatkan lagi di bagian verifikasi wajah disuruh berkedip sampek mata mau keluar pun gagal verifikasi mohon ditinjau kembali,1
kenapa aplikasinya gk bisa dibuka di android 15,5
sangat membantu untuk transaksi,5
"bayar CC BNI ngak harus ketik ulang melulu, setiap bulan nya,",2
kurang worit soalnya dulu pakai bni ada jumlahnya semisal tf berapa sisa berapa dan sekarang itu gak ada,1
bagus sih cuman tiap mau transfer kadang sering gagal tolong di perbaiki lagi,4
"mungkin bisa ditambah fitur aktifin kartu yang udah lama gak ke pakai soal nya mau aktifin kartu harus ke bank nya langsung, supaya menghemat waktu dan energi ,soal nya jauh dri bank tempat kerja",4
"Udah makin oke nih... Gua mah jujur orangnya, kalo bagus yaa bagus.. Kalo memang jelek yaa gua katain jelek",5
"kenapa saya top-up gopay saldo ke potong tp di org nya tidak masuk,dan knpa saya pembayaran qris berhasil tp di org nya tidak masuk,tolong di perbaiki seenggak nya kalo gangguan di refund ga bnyam loadibg jg kdg loading nya lemotttt bnget pdahal pake wifi jringan kenceng msi loading ga karuan",1
lebih biak dari aplikasi sebelumnya,5
sangat di mudah kan dalam transaksi apapun.. dan pastiny aman..,5
"bagus sekali sangat membantu memudahkan sagala urusan,,,,👍👍👍",5
terima kasih wondr by BNI aplikasi ini sangat membantu sekali.pokoknya mantap,5
aplikasi ini sangat membantu sekali disaat bertansaksi...,5
terimakasih atas ada nya aplikasi wondrby BNI ini sangat membantu dalam proses transaksi 👍🏻👍🏻👍🏻,5
aplikasi sangat memudahkan dlm urusan keuangan.,5
lebih mudah simpel praktis,5
"Mohon kembangkan agar Biometrik wajah dapat digunakan, bukan hanya jari",4
"saya beli pulsa dan tertulis di situ gagal padahal sebelum ini baik2 saja, apa karna update?, dan masalah nya tetap memotong saldo dan pulsa tidak masuk2",1
"lebih bagus tampilsnnya, cepet, bagus",5
lumayan lebih mudah bertransaksi,5
aplikasi bank mobile ini sangat membantu,5
mantap dan cepat,5
lebih simpel dari BNI Mobile yang dulu + UI enak di mata.,5
"asli ngeselin parah waktu verifikasi wajah, tengok bawah tengok samping lancar, giliran kedipkan mata ini gagal mulu, yg ada sampe kena limit.",1
"Tolong jika saat maintenance aplikasi, lebih baik di malam hari dan ada pemberitahuan terlebih dahulu sebelumnya. Jangan pas siang hari 😮‍💨 Aktifitas transaksi terhadap klien, customer, supplier jadi terganggu dan terlambat cuma gara² ""aplikasi sedang dalam perbaikan"" 👎🏼",3
"Aplikasi wondr tidak bisa digunakan, selalu lambat untuk terbuka padahal data internet mendukung, kalian paksa nasabah gunakan wondr bni, sudah bagus BNI mobile kalian buat tidak bisa transaksi beli token listrik di mobile BNI, di paksa untuk beralih ke wondr bni, dasar aplikasi BNI bikin susah nasabahnya",1
bni bank negara indonesia . uang yg gak seberapaa diambil gitu aja..alasan mau masukin asuransi tpi tidak ada konfirmasi apapun dengan saya bni saldo saya dipotong tanpa persetujuan dri saya sangat kecewa dengan pihak bni gak mau lgi nyimpan uang di bni apalagi make bni trauma saya,1
apaan ini baru daftr masa harus d aktifin karn 6.bulan tidak ada aktifitas.. kocak x kan baru daftr ya jelas gk ad aktifitas.. mw d isi saldo ke norek tertera malah gk bisa kan aneh sekali... belajar dari mbnking sama brimo klo mau bikin aplikasi biar gk jelek seperti ini,1
simple dan keren memudahkan transaksi,5
"susah nyesuaina wajah nya juga ah, udh 10x gagal trus makin susah masuk nya",3
aplikasi tolol verivikasi muka gagal terus,1
"aplikasi parah,,,, susah dibuka. padahal signal bagus. parah.parah.parah. no recommennded",1
Jangan coba coba transaksi pake Qris di sini ya kalo gk mau duit lu ilang karna transaksi gagal dan gk di refund. gua mah cuma ngasih tau ajh. kalo pun transaksi berhasil kadang di seller gk nerima transaksi nya,1
transaksi transfer sering gagal terkhusus untuk transaksi qris.,1
aplikasi gagal. banyak error nya. mending pakai yang bni mobile yang lama,2
apaan dah nih aplikasi orang mau beli pulsa aja tapi di situ tulisannya ;ada kendala di sistem kami coba lagi nanti ya kek mana udah capek capek isi duit di dalemnya,1
sangat efektif dan bagus banget,5
"App wonder tiba-tiba tidak bisa di buka, tanpa ada pemberitahuan dan solusi yang pasti. masih enak app bni mobile yang dahulu tidak pernah ada gangguan.",1
BNI KEREN & MANTAP..👍💯💪 BNI LUARBIASA & TERIMAKASIH..👍😇💪,5
"Bolak balik ke log out, bolak balik verifikasi , aplikasi paling dodol",1
Sayang sekali APK kalian kalau mau transfer ke setiap e-walet sehari maksimal hanya 2jt.,1
ini kenapa tiba tidak bisa login keterangan Ada sedikit kendala restart sudah di uninstal sudah tetap tidak bisa login mohon bantuanya,1
"Email transaksi selalu dikirim lagi untuk transaksi beberapa hari sebelumnya, udah di email 2x ke csnya masih belum di perbaiki",3
kecepatannya luar biasa,5
"simple, aman, nyaman bertransaksi dg wondr by BNI",5
sangat bagus memudahkan dalam bertransaksi.,5
mantapp aplikasi wonder BNI membantu saya dalam segala transaksi... terima kasih BNI 🙏,5
Bukti traksaksi sering eror.. lambat keluar.?? bukannya makin bagus malah kek gini.,1
"saya udah daftar apl ini dan sangat mudah digunakan, tpi masalah nya ada saat ambil kartu ATM di BNI padang jl.proklamasi di layani oleh satpam yg kurang ajar dan syok jagoan + merendahkan nasabah ...makanya saya kasih bintang 1",1
gk bisa setor tunai cuman bisa tarik tunai,3
sangat memudahkan dalam transaksi,5
"kak ada Aya diluar negeri ni di Jepang kalau datang ke kantor nya yang dijepang ga bisa kah, Krn a dia minta verifikasi posisi saya dijepang dan saya daftar online,dan tidak ada ATM nya",3
cepat dan tanggap,3
cakep sip mudah2an rezekinya murah n lncar barokah...aamiin.,5
"Fitir nya kurang lengkap di tambah lagi aplikasi nya yang sangat berat untuk di buka,,",1
"apk susah bgt mau scan wajah, diulang brapa kali, tetep gk bisa",1
mudah dan mudah tanks,5
"JANGAN DOWNLOAD APLIKASI INI. Setelah berhasil verifikasi untuk login, tepat 25 menit kemudian, nomor handphone yang saya gunakan dispam whatsappnya oleh nomor tidak dikenal dan memanggil nama saya menggunakan nama email yang hanya saya masukan untuk login. Kebetulan nama email saya berbeda dengan nama Whatsapp dan saat itu saya hanya sedang mencoba login menggunakan Aplikasi wondr ini. BILA MASIH ADA ORANG JUJUR DI BNI, TOLONG DIPERBAIKI PRIVASI DATA NASABAHNYA YA.",1
Semoga vitur nya upgrade yg lebih bagus,5
lebih mudah dan cepat TPI sayang tidak 24jam,5
transaksi shopepay kok ngak bisa lagi.,3
"aplikasi keren, semoga nanti lebih cepat",5
"kok ga bisa d buka yaa kalo pakai data seluler harus pakai wifi, selalu ngefrez, mohon perbaikan nya segera karna ini sangat menyulitkan kemana mna harus minta wifi dlu untuk pembayaran",2
"terkadang aplikasi di saat tertentu susah untuk login , slalu perbaikan perbaikan perbaikan , di saat penting perlu cepat malah gak bisa ke login .. ini sangat sangat sering terjadi .. selalu perbaikan""",2
"mau verifikasi wajah. dari 7 hari yang lalu nggak bisa2. padahal sudah kedip2. Edit: semua sudah saya coba sesuai dengan saran anda tapi semuanya tetap aja nggak berhasil. sepertinya memang ada bug di aplikasinya. coba hire orang IT yang berkompeten dan berpengalaman, pasti ketemu itu bugnya.",1
sangat membantu dan sangat luar biasa dalam bertransaksi dimanapun dan kapanpun the best❤❤❤❤,5
kalau gak di bukak sering suruh ganti pasword. menyebalkan,2
kenapa saya tidak bisa transfer selalu gagal coba bantua lewat email gak ad respon gimana ini aplikasi scam atau apa saya sangat kecewa,1
Sangat menbantu dan mudah operasionalnya,5
dari kemarin maintenance terus sampe sekarang belum selesai selesai kocak kocak,1
sangat mmbantu dan memudahkan pengguna untuk melakukan transaksi,5
cepat dan akurat,5
keren dan sangat mudah,5
sangat mudah dalam menggunakan aplikasi wondr by bni,5
"kenapa ya tidak bisa login lagi padahal udah benar untuk data "" nya sama pin nya",1
kenapa saya mau buka mbangking malah di arahkan ke buka tabungan tolong,1
"sistem buruk, sering ganguan",1
"Aplikasi sudah bagus, tetapi Tolong buat fitur dimana nasabah bisa menyampaikan kendala pada aplikasi nya. dikarenakan pada aplikasi ini saat saya ingin transfer ke gopay, aplikasi ini menyatakan transaksi nya gagal, tetapi uang saya tetap berkurang pada mobile banking nya. tolong pertanggung jawaban nya BNI.",2
"Fiturnya gak lengkap dan bikin bingung, awal"" mau ""Mobile Tunai"" ga bisa karna gak ada fiturnya, udah nyari digoogle sama youtube tetep gabisa ternyata harus di perbarui baru ada fiturnya. Trus barusan mau tf ke Dana limitnya cuma bisa 2jt, niatnya mau ganti tf ke Bank SMBC/BTPN eh nama bank nya gak ada. Enakan pake Bni Mobile fiturnya lengkap, tf ke Dana 14,5 jt juga bisa langsung gk ribet pake limit. kenapa ngide banget ganti"" aplikasi sih?",1
limit TF belum terpakai tapi sudah melebihi limit ujung2 nya aplikasi ngga bisa di pakai harus ke kantor cabang untuk buka blokiran sudah 2 kali kaya gini aplikasi wondr muncul Kami Perlu Verifikasi Tambahan,1
aplikasi wonder yang modern & fungsional,5
"aplikasi busuk, tau"" diminta ke BNI cabang, kalo ga siap launching apk ga usah suruh pengguna migrasi. padahal migrasi karena pas dateng ke kantor cabang disuruh migrasi ke aplikasi wonder, make sehari tau"" ada notif suruh ke kantor cabang buat lengkapin data. GOBLOKNYA BNI WONDER",1
Aplikasi sampah masuk ajah pakai wifi ngak bisa,1
setelah update ke one ui 7 tiba² aplikasi stag di depan aja gak bisa masuk ke dalam aplikasi,2
"lebih jelek Aplikasi BNI mobile , sering eror untuk login. kalau masalah jaringan Livin dan BCA mobile di HP yg sama lancar2 saja aplikasi mereka..",1
aplikasi wondr BNI. saat ini start aplikasinya masih lebih slow dari aplikasi BNI mobile yang lawas (21 Jun'25) mohon diassessment & diimprove lebih baik lagi. pastikan aplikasi baru sudah smooth sebelum migrasi ya. terima kasih,4
"ASSALAMU ALAIKUM kak, saya mau tanya, saya sudah pernah download wondr, lalu saya di suruh pilih kode nya di kirim ke Watsap, atau di SMS, lalu saya memilih kirim ke SMS saja, tapi kode nya kok tidak di kirim kan ,kenapa ya kk apa harus ke kantor cabang ya kk",2
app bagus mudah. walau butuh penyesuaian dikit ya dgn versi lama. aplikasi ringan ga bikin hp lelet,5
tolong tambahkan banyak pilihan wallet nya donk... seperti shoppe dll,4
Kalo bisa tolong update riwayat transaksinya lengkap yah Terima kasih,5
"ga jelas asli, login udah kaya ngajuin pinjol ujungnya belum bisa registrasi.",1
transaksi lebih mudah dan cepat,5
sangat mudah dan membantu,5
sangat mudah dan membantu,5
"eee wonder wonder makin kesini makin bermasalah aplikasi kalian , gimana mau maju perusahaan kalian , untuk buka aplikasi aja selalu bermasalah trus ,",1
Wondr By BNI Cepat Dan Mantab Utk Segala Kebutuhan.. Tingkatkan Pelayanan Min👍👍👍👍,4
bagus. sangat mempermudah semua transaksi.,5
"aplikasi enggak bisa bagus, mending BNI banking yg lama.. fitur enggak komplit gampang leg",1
bagus banget mempermudah sekali,4
tolong diperbaiki lagi karena lambat prosesnya loading untuk membuka app harus lewat wifi dulu,2
"Terima kasih BNI, Aplikasi.nya sangat mempermudah semua transakti.",5
apk nya sangat membantu terimakasih,5
lebih memudahkan bertransaksi,5
"Saldo mengendap 150rb tupUp goapy gagal,tapi saldo tetap terpotong Benar² Bank yg cari keuntungan besar saya buka rekening terpaksa,karena kerjaan BNI jauh di bawah kualitas BCA",1
"susah banget buat verifikasi wajah pas bagian kedip kan mata susah banget padahal udh kedip ,mau pake hp yg mana pun tetep gk bisa ngescan,kecewa sama wonder by BNI",1
untuk apk nya bagus tapi sayang kalo ad notif transfer uang minim gak masuk harus harus besar baru masuk.. tolong Kecilin nominalnya dong min biar kyk apk sebelah tranfer kecil besar bisa ad notif nya gk harus bolak balik buka apk untuk ngecak uang masuk ap blm,1
mantap apk nya prosesnya cepat,5
"memudahkan saya untuk setiap transaksi yg saya lakukan,,aman dan terpercaya,,terimakasih wondr by BNI",5
"untuk melihat riwayat transaksi jangan menunggu terlalu lama utk cek, karena membuat pengguna was was transaksinya belum masuk. TOLONG DIPERBAIKI AGAR BISA CEPAT setelah transaksi.",2
mantap..sangat simple..smooth aplikasinya..terima kasih,5
bagus mudah dan banyak aplikasi baru nya memper mudah untuk investasi,5
"bagus,sangat membantu untuk melakukan transaksi pembayaran",5
Aplikasi apa ini mau buat bapak saya untuk cek bansos selalu gagal d kedip mata,1
"Aplikasi wondr BNI tidak bisa transfer ke DPLK BNI SIMPONI kalau di BNI SIMPONI tidak bisa kelihatan saldonya sudah 3 hari ini tidak bisa saya liat saldo di BNI SIMPONI, mohon saran untuk kendala tersebut juga dan juga dapat transfer ke DPLK BNI SIMPONI dari wondr BNI. Terima kasih kmna dikirim scerenshootnya? jadi di BNI SIMPONI itu buffering trus saya tungguin hampir 1 jam gak ada muncul apa apa hanya buffering. Terima kasih",1
Tolong fitur notifikasi uang masuk dan keluar nya jangan di limit besaran. karena agak ribet aja kalau transferan masuk kecil harus login-login karena tidak di tampilkan di notif. terimaksih,3
saya sudah bayar tagihan kartu kredit kok tidak berubah-ubah masih tetap,2
sampah verifikasi wajah salah melulu sudah berapa kali di ulang di ikuti semua mau nya pas udah bener waktu nya habis sampah,1
"sangat mudah di gunakan, dan keamanan yang terlindungi.",5
"app malah nyusahin macet"" malah enak bni banking",1
bagus mudah dan cepat,5
"kok bisa otp ga datang datang, ada datang udah 20 menit setelah nya. ngeri",1
"gak bisa buat tab. Taplus Anak, lengkapi dong fitur pembukaan Tab. nya.. sama kyk BNI MOBILE.",1
"mohon solusinya min, saya mengalami kendala tidak bisa memverifikasi email wondr by BNI, email yang di daftarkan kelebihan satu huruf, saya sudah menghapus email yang salah dan telah memverifikasi email yang benar namun sampai sekarang belum ada tanggapan dari pihak wondr by BNI, mohon solusinya min, terimakasih.",5
mahal banget perbulan harus nyisain 50k tolong lah anak kosan berat banget ini kek dulu aja dah minimal 20k kacau deh bni buat kebijakan kek begini,1
"Bagus, cepat dan mudah",5
"masih belajar, semoga ga ganti2 aplikasi lagi",5
sangat membantu dan cepat untuk transaksi,5
"fixed ini aplikasi paling ribet gak kyak aplikasi bank yg lain , mau instal ulang tp ribet sama verifikasi wajah, berhari2 di coba gak bs, waktu terbatas gak bs coba berkali2... hapus ajalah.",1
"terus gak bisa dibuka aplikasi ini,lemot kali,hanya gara² jaringan gak stabil aja gak bisa terbuka,makin hari makin buruk,lebih baik yg lama dibuka,tolong dong di perbaiki",1
saya baru download aplikasi ini dan tadi bisa di bukak kenapa sekarang nggk bisa di buka aplikasinya,3
aman dan transaksi lebih mudah,5
bagus sekali Aplikasinya.. sangat Membantu,4
"kenapa belakangan ini Aplikasi ini sering tidak bisa dipakai..??, notif nya ada sedikit kendala tim sedang memperbaiki..., tapi berhari hari masih gitu mulu..., katanya BNI Mobile akan ditutup dan harus pindah ke Wondr ,, tapi kalo gak bisa dipake gini gimana dong..??",3
banyak banget bug nya ini aplikasi,1
aplikasi jos. lebih baik dari pada bni mobile,5
semoga lebih baik lagi sistemnya dan terjamin keamanannya.,5
aplikasinya bagus sekali dan cepat,5
kenapa gangguan dari kemarin gak beres²,2
aplikasi aneh abis update eror terus di install ulang baru bisa,1
"transaksi lebih mudah, thanks wondr",5
saya kasih bintang 4 karena apk nya sering kali gk bisa login. tolong di perbaiki lagi ya,4
"Aplikasinya sih sudah bagus bgt. Tapi untuk mobile tunai, kenapa harus pakai kode OTP via SMS ya? Setuju kalau alasannya demi keamanan, tapi biaya SMSnya terbebani Rp. 2.200,-. Karena sekarang komunikasi sdh pakai WA, jadi jarang isi pulsa hp. Beda dgn B*A, tidak ada biaya apapun dan lebih simple, karena kode via aplikasi. Mungkin bisa dipertimbangkan. Terima kasih.",3
"lucu proses qris gagal tapi saldo di ambil, bikin laporan tapi respon tidak jelas dan tidak di lakukan pengacekan dengan cepet harus nunggu beberapa tahun ini",1
"aplikasi sdh beberapa hari tidak bisa dibuka, tertera tim kami lagi perbaiki. sampai sekarang tidak bisa",1
"setiap transaksi loading lama sekali, di apa-apain tdk bisa..kembali tidak bisa tapi transaksi muter terus tiada akhir .. ini gmn,, ketika mau transaksi hal yg penting malah tidak bisa, dan hanya loading... sudah berkali kali mengalami hal tersebut . sungguh sangat mengecewakan. loading tiada akhir,, muterr aja gitu terussss...",1
"Awalnya sih aplikasinya bagus, tapi sekarang aplikasinya susah untuk mendeteksi wajah aplikasinya jelek banget, mendeteksi wajah aja susahnya minta ampun, kalo cuma sekali dua kali ajah yah nggakpp tpi ini sampai berbulan- bulan pun aplikasinya masih susah mendeteksi wajah",1
simple dan lengkap,5
verifikasi wajah di ulang berapa kali nggak bisa malah disuruh besok apa bedanya mending BNI mobile malah ditutup kecewa,1
"sangat membantu , buka rekening mudah, transaksi makin gampang . terimakasih",5
"ok,tingkatkan terus fitur,biar gk jadul..lebih maju dripada apk bank sebelah,👍🏼",5
sangat simple and The best.... Cepat dan Mudah transaksinya 👍,5
"kenapa gak bisa login, udah berhari2 gak masuk2",1
"bagaimana caranya agar kartu kredit bni saya bisa di input di aplikasi ini, karena di aplikasi yg saya install hanya ada permohon kartu kredit baru saja.",4
Alhamdulillah sangat membantu dengan menggunakan wondr by BNI ....,5
"cepat, mudah dan aman..",5
kenapa susah di buka ya wonder nya,5
sangat mudah dan cepat,4
"setelah di perbarui kenapa aplikasi malah gangguan. ADA SEDIKIT KENDALA tim kami lagi perbaiki, coba lagi itu maksudnya gmana ya min",1
Aplikasi Sangat bagus dan juga sangat Membantu untuk segala keperluan perbankan kita..👍,5
lancar tmpa ribet terimakasih segala kebutuhan terpenuhin dengan pelayan bagusnya,5
"ok,sangat mudah digunan untuk transaksinya",4
"saya kemarin beli paket internet pake wondr, padahal di bukti transaksinya gagal tapi saldo saya belum kembali lagi tetap terpotong",3
simpel dan mudah,4
wondr by BNI memberikan kesan sebuah aplikasi yang mewah. tampilan di dalam sangat nyaman di lihat mata.,5
"ini mau verifikasi wajah, kenapa susah sekali. udh di ulang berkali2, selalu tidak bisa.",1
sangat mudah dan cepat,5
kecewa pakai apk ini tiba-tiba keluar sendiri karena jarang dipakai terus saya uninstall setelah itu saya dowload lagi malah disuruh daftar ulang dari awal,1
sering lemot ini aplikasi,3
bagus banget mudahkan belanjaa,5
sangat memudahkan buat log in kembali kalau hp habis di restart dan tidak bikin ribet harus ke bank BNI lgsg 🥰😍 jadi lgsg bisa log in kembali sendiri🫰🫰,5
Kenapa sekarang sering error ya... tolong admin diperhatikan,5
mempermudah nasabah utk bertransaksi,5
"sangat membantu, mudahan terus seperti ini aplikasi nya",5
semoga tidak ada kendala pake yang ini,5
sangat puas prosesnya,5
saya senang sekali bertransaksi di Wonder Bu BNI,5
"sangat simple dan mudah,dalam pengoperasian nya,,two tomb up pokoknya,",5
tolong lebih tingkatkan lagi untuk keamanan dan fiturnya.,5
apapun transaksinya selalu cepat,5
ribet banget udh ad aplikasi mbni masih aja harus foto KTP + orang . kenapa ga di kirim link log in terusan dari mbni ke wondr?,1
"Masa mau beli data di apl WONDR Gk bisa , heran sumpah ,, Mau TOP UP ke GOPAY Juga Gk bisa , saya nasabah BNI ,, Tadi nya BNI PRAKERJA di ubah oleh pihak BANK jadi Taplus ,, Ko jadi susah di gunakan kaya gini , Parah",1
knp aku ngk bisa buka aplikasi nya ya padahal selama ini aman2 aja tiba2 td siang ngk bisa dibuka? apa ada masalah aplikasinya?,2
"verifikasi wajahnya keulang terus susah, lebih bagus apk lama!",1
aplikasi nya sangat bagus. memudahkan kita dalam bertransaksi,5
sangat mudah digunakan dan praktis 1 genggaman untuk berbagi manfaat,5
"Alhamdulillah wonder bni menolong banget buat transaksi aku saat ini,semoga aku bisa nabung dan dapet hadiah dari undian wonder bni😍",5
"bagus, cepat, mudah transaksinya",5
kenapa pilihan kabupaten saya tidak ada.. sy tdk bisa melakukan registrasi,1
"Wonder memberikan kebebasan bagi kita untuk bertransaksi denfan lebih leluasa. Belajar untuk berinvestasi dengan mudah, memberikan kesempatan bagi kita untuk belajar pengelolaan keuangan. Laporan keuangan dapat di pantau. Wonder by BNI solusi bertransaksi dan berinvestasi",5
setiap kali mau transfer uang semuanya gagal trus,3
akhirnya bisa kasi bintang 5 udah bisa akses,5
terlalu sering perbaikan jadi gk bisa buat orang yg buru2 atau buat jualan pulsa sama tarik tunai dri situ mngecewakan pelanggan. gk kayak yg sebelah lancar2 trus😪,2
"ini kenapa mau pindah ke wonder malah diintruksikan buat rekening baru ,, kata nya data otomatis langsung pindah dr mbanking BNI ,, mohon penjelasannya ,,",3
Tidak Ada menu Riwayat dengan Saldo akhir,4
servernya di perbaiki lah..masa jaringan bagus tapi lemot buat buka Apk nya..aneh,1
aplikasi error gak bisa di buka,2
lebih di perlancar lagi cara loging nya,5
"habis dapat transferannya ko JD ada kendala,,,sistem sedang memperbaiki tp ko lama bgt,,,gmn mau cek mutasi ni",1
"perlu adanya pengembangan lebih lanjut untuk aplikasi ini. saat kita ingin lihat DPLK hanya menyajikan nilai, tidak menyajikan secara detail. padahal hal ini penting untuk melihat yang sudah di setorkan perusahaan. disarankan malah untuk download aplkasi lain lagi. harusnya kalau jadi aplikasi super app ya fitur dari app yang lma di copy terus dikembangkan, ini malah dihilangkan.",3
sangat membantu transaksi jadi lebih mudah,4
"lama banget sekarang kalo mau buka, padahal sinyal bagus, tolong di tingkatkan",3
"aplikasinya sangat membantu,terima kasih wonder by BNI",5
sangat puas dan jug nyaman,5
semoga bisa transfer dana ke akun shopee dan semacamnya. jd gak perlu lg ke minimarket antre dan gak bisa serta lain-lain lebih praktis,5
"oke sudah .. langsung kirim bukti tf tidak bisa ya, mesti di SS dlu",5
